raw_name,source,suggested_canonical,other_names
Marvel Life Sciences Ltd.,epar_mah,Marvel Life,Marvel Lifesciences Ltd | Marvel LifeSciences Ltd.
Masuu Pharma Europe Limited,epar_mah,Masuu Pharma,Midas Pharma GmbH
MCM Vaccine B.V.,epar_mah,Mcm Vaccine,NA
MDS Nordion S.A.,epar_mah,Mds Nordion,NA
Meda AB,epar_mah,Meda,Medac | Medday Pharmaceuticals
medac Gesellschaft für klinische Spezialpräparate mbH,epar_mah,Medac Gesellschaft Fur Klinische Spezialpraparate Mbh,Medac Gesellschaft fuer klinische Spezialpraeparate mbH
Medice Arzneimittel Pütter GmbH  Co. KG,epar_mah,Medice Arzneimittel Putter Gmbh,Medice Arzneimittel Pütter GmbH & Co. KG
MediWound Germany GmbH,epar_mah,Mediwound,NA
Medtronic BioPharma B.V.,epar_mah,Medtronic Biopharma,NA
A. Menarini Industrie Farmaceutiche Riunite s.r.l.,epar_mah,Menarini Industrie Farmaceutiche Riunite,NA
Menarini International Operations Luxembourg S.A.,epar_mah,Menarini Operations,Menarini International Operations Luxembourg S.A. (MIOL)
MendeliKABS Europe Ltd,epar_mah,Mendelikabs,NA
Merck Europe B.V.,epar_mah,Merck,Merck Europe B.V. 
Merck Sharp & Dohme B.V.,epar_mah,Merck Sharp And Dohme,Merck Sharp and Dohme B.V
Merial,epar_mah,Merial,Mérial | Merial S.A.S.  | Merial S.A.S.
Merz Therapeutics GmbH,epar_mah,Merz,NA
Minoryx Therapeutics S.L.,epar_mah,Minoryx,NA
Mirum Pharmaceuticals International B.V.,epar_mah,Mirum,NA
Mitsubishi Pharma Europe Ltd,epar_mah,Mitsubishi Pharma,Mitsubishi Tanabe Pharma GmbH
"Moderna Biotech Spain, S.L.",epar_mah,Moderna Biotech,NA
MolMed SpA,epar_mah,Molmed,NA
L. Molteni & C. dei Fratelli Alitti Società di Esercizio S.p.A.,epar_mah,Molteni And Dei Fratelli Alitti Societa Di Esercizio,NA
Mundipharma GmbH,epar_mah,Mundipharma,Mundipharma Corporation (Ireland) Limited
Mylan S.A.S.,epar_mah,Mylan,Mylan S.A.S | Mylan Ireland Limited | Mylan Pharmaceuticals Limited | Mylan dura GmbH
Mylan IRE Healthcare Limited,epar_mah,Mylan Ire Healthcare,NA
Nabriva Therapeutics Ireland DAC,epar_mah,Nabriva Dac,NA
"Nanotherapeutics Bohumil, s.r.o.",epar_mah,Nanotherapeutics Bohumil,NA
Navidea Biopharmaceuticals Europe Ltd.,epar_mah,Navidea Biopharmaceuticals,NA
Nektar Therapeutics UK Limited,epar_mah,Nektar,NA
Neovii Biotech GmbH,epar_mah,Neovii Biotech,NA
Neuraxpharm Pharmaceuticals S.L.,epar_mah,Neuraxpharm,NA
Neurochem Luxco II SARL,epar_mah,Neurochem Luxco Ii Sarl,NA
NeuTec Pharma plc,epar_mah,Neutec Pharma,NA
New A Innovation (NL) Limited B.V.,epar_mah,New Innovation Nl Limited,NA
Nexcyon Pharmaceuticals Ltd,epar_mah,Nexcyon,NA
NicOx S. A.,epar_mah,Nicox,NA
Noden Pharma DAC,epar_mah,Noden Pharma Dac,NA
Nordic Group B.V.,epar_mah,Nordic Group,NA
Norgine B.V.,epar_mah,Norgine,NA
Norpharm Regulatory Services Ltd,epar_mah,Norpharm Regulatory Services,NA
Norton Healthcare Ltd.,epar_mah,Norton Healthcare,NA
Novagali Pharma S.A.,epar_mah,Novagali Pharma,NA
NPS Pharma Holdings Limited,epar_mah,Nps Pharma Holdings,NA
Oasmia Pharmaceutical AB,epar_mah,Oasmia Pharmaceutical,NA
Octapharma AB,epar_mah,Octapharma,NA
Ology Bioservices Ireland LTD,epar_mah,Ology Bioservices,NA
Olympus Biotech International Limited,epar_mah,Olympus Biotech,NA
Omrix Biopharmaceuticals N. V.,epar_mah,Omrix Biopharmaceuticals,NA
Oncopeptides AB (publ),epar_mah,Oncopeptides Ab Publ,NA
Oncoscience AG,epar_mah,Oncoscience,NA
Only For Children Pharmaceuticals,epar_mah,Only For Children,NA
Orchard Therapeutics (Netherlands) B.V.,epar_mah,Orchard,NA
Oresund Pharma ApS,epar_mah,Oresund Pharma Aps,NA
Orexigen Therapeutics Ireland Limited,epar_mah,Orexigen,NA
Orion Corporation,epar_mah,Orion,NA
Orphalan,epar_mah,Orphalan,NA
Orphazyme A/S,epar_mah,Orphazyme,NA
ORPHELIA Pharma,epar_mah,Orphelia Pharma,NA
OTR3,epar_mah,Otr3,NA
Outlook Therapeutics NL B. V.,epar_mah,Outlook Nl,NA
Pacira Limited,epar_mah,Pacira,Pacira Ireland Limited
