alias_clean,substance_clean,alias_type,source
ryeqo,relugolix|norethisterone acetate|estradiol hemihydrate,ema_product_name,epar
mimpara,cinacalcet hydrochloride,ema_product_name,epar
dazparda,insulin aspart,ema_product_name,epar
arava,leflunomide,ema_product_name,epar
synflorix,pneumococcal polysaccharide serotype 23f|pneumococcal polysaccharide serotype 4|pneumococcal polysaccharide serotype 5|pneumococcal polysaccharide serotype 6b|pneumococcal polysaccharide serotype 7f|pneumococcal polysaccharide serotype 9v|pneumococcal polysaccharide serotype 1|pneumococcal polysaccharide serotype 14|pneumococcal polysaccharide serotype 18c|pneumococcal polysaccharide serotype 19f,ema_product_name,epar
tecartus,autologous peripheral blood t cells cd4 and cd8 selected and cd3 and cd28 activated transduced with retroviral vector expressing anti-cd19 cd28|cd3-zeta chimeric antigen receptor and cultured (brexucabtagene autoleucel),ema_product_name,epar
cimzia,certolizumab pegol,ema_product_name,epar
tafinlar,dabrafenib mesilate,ema_product_name,epar
spexotras,trametinib dimethyl sulfoxide,ema_product_name,epar
procysbi,mercaptamine bitartrate,ema_product_name,epar
zoledronic acid medac,zoledronic acid monohydrate,ema_product_name,epar
ibrance,palbociclib,ema_product_name,epar
besponsa,inotuzumab ozogamicin,ema_product_name,epar
zercepac,trastuzumab,ema_product_name,epar
imfinzi,durvalumab,ema_product_name,epar
usrenty,ustekinumab,ema_product_name,epar
